length, height, width
8.4,2.11,1.41
13.7,3.53,2.0
15.0,3.82,2.43
16.2,4.59,2.63
17.4,4.59,2.94
18.0,5.22,3.32
18.7,5.2,3.12
19.0,5.64,3.05
19.6,5.14,3.04
20.0,5.08,2.77
21.0,5.69,3.56
21.0,5.92,3.31
21.0,5.69,3.67
21.3,6.38,3.53
22.0,6.11,3.41
22.0,5.64,3.52
22.0,6.11,3.52
22.0,5.88,3.52
22.0,5.52,4.0
22.5,5.86,3.62
22.5,6.79,3.62
22.7,5.95,3.63
23.0,5.22,3.63
23.5,6.28,3.72
24.0,7.29,3.72
24.0,6.38,3.82
24.6,6.73,4.17
25.0,6.44,3.68
25.6,6.56,4.24
26.5,7.17,4.14
27.3,8.32,5.14
27.5,7.17,4.34
27.5,7.05,4.34
27.5,7.28,4.57
28.0,7.82,4.2
28.7,7.59,4.64
30.0,7.62,4.77
32.8,10.03,6.02
34.5,10.26,6.39
35.0,11.49,7.8
36.5,10.88,6.86
36.0,10.61,6.74
37.0,10.84,6.26
37.0,10.57,6.37
39.0,11.14,7.49
39.0,11.14,6.0
39.0,12.43,7.35
40.0,11.93,7.11
40.0,11.73,7.22
40.0,12.38,7.46
40.0,11.14,6.63
42.0,12.8,6.87
43.0,11.93,7.28
43.0,12.51,7.42
43.5,12.6,8.14
44.0,12.49,7.6
